,boyname,boyfreq
1,Ethan/Aiden/Ayden/Hayden/Aidan/Edwin/Adan/Eden/Aden/Aydin/Aaden,0.017811
2,Liam,0.009531999999999999
3,Noah/Noe,0.009531
4,Jackson/Jaxon/Jaxxon,0.009295999999999999
5,William,0.007589
6,Lucas/Lukas,0.0074670000000000005
7,James,0.007247
8,Mason/Mayson/Maison,0.007125
9,Logan,0.007106
10,Elijah/Alijah,0.007078999999999999
11,Jacob/Jakob/Jacoby,0.007038
12,Benjamin,0.006996
13,Grayson/Greyson,0.006853
14,Luke/Luca/Luka/Lucca,0.006777000000000001
15,John/Jonah/Johnny/Jon,0.0067350000000000005
16,Oliver,0.006690000000000001
17,Kayden/Kaiden/Kaden/Caden/Cayden/Caiden,0.006554999999999999
18,Michael/Micheal,0.0065320000000000005
19,Alexander,0.0063479999999999995
20,Jayden/Jaden/Jaiden,0.006241000000000001
21,Matthew/Mathew,0.006173
22,Josiah/Jose/Joziah,0.006142
23,Easton/Weston/Ashton,0.006130999999999999
24,Carter/Karter,0.006117
25,Daniel,0.005928
26,Jace/Jayce/Jesse/Jase/Jasiah/Jessie,0.0057469999999999995
27,Wyatt/Wade/Eddie/Heath,0.005671999999999999
28,Henry,0.005305
29,Joseph,0.005292
30,Samuel,0.0052710000000000005
31,David,0.005166
32,Sebastian,0.005158
33,Jack/Jake,0.005047
34,Mateo/Matteo,0.004986
35,Joshua/Josue,0.00498
36,Isaac/Issac/Hezekiah,0.004927000000000001
37,Andrew/Andre,0.004876
38,Dylan/Dilan,0.004829
39,Owen,0.0047350000000000005
40,Caleb/Kaleb,0.004677000000000001
41,Gabriel,0.00463
42,Anthony/Anton,0.004583
43,Julian/Julien,0.004483000000000001
44,Christopher/Kristopher,0.004391
45,Levi/Leif,0.004379999999999999
46,Christian/Cristian/Kristian,0.004320999999999999
47,Eli/Ali/Willie/Will,0.004175999999999999
48,Lincoln,0.004147
49,Gavin/Kevin,0.004039
50,Chase/Cash/Kash/Casey/Case/Kase/Kace,0.004029
51,Nicholas/Nicolas/Nikolas/Nickolas,0.004028
52,Ryan/Rene,0.0040219999999999995
53,Jeremiah/Jeremy,0.0039959999999999996
54,Connor/Conor/Konnor,0.00394
55,Evan/Ivan,0.003933000000000001
56,Isaiah/Izaiah,0.003905
57,Thomas/Tomas,0.00381
58,Aaron/Aron,0.0038040000000000005
59,Jonathan/Johnathan,0.0037719999999999997
60,Nathan,0.003761
61,Zane/Sean/Zayn/Shane/Zayne/Shawn/Zain,0.0037479999999999996
62,Cameron/Kameron,0.00369
63,Charles,0.003632
64,Hunter,0.003409
65,Adrian/Adrien,0.003281
66,Landon,0.0032159999999999997
67,Asher/Azariah,0.003204
68,Dominic/Dominick/Dominik,0.003198
69,Elias/Ellis/Elisha,0.003196
70,Carson/Karson,0.0030429999999999997
71,Colton/Kolton,0.0030210000000000002
72,Theodore,0.003017
73,Leo,0.003017
74,Hudson,0.002931
75,Brayden/Braden,0.002872
76,Robert,0.002803
77,Miles/Myles,0.002749
78,Nolan,0.0027329999999999998
79,Ezra,0.002698
80,Ian/Wayne,0.002686
81,Angel,0.002666
82,Micah/Mekhi/Mack/Makai/Mike,0.0026449999999999993
83,Jordan,0.002602
84,Eric/Erick/Erik,0.0025830000000000002
85,Zachary/Zachariah/Zechariah/Zackary,0.002569
86,Austin,0.002555
87,Emmett/Ahmed/Emmitt/Ahmad/Emmet,0.002506
88,Adam,0.002494
89,Jason/Jayson,0.002471
90,Bryson/Brayson,0.00247
91,Elliott/Elliot,0.0024660000000000003
92,Diego/Thiago,0.002464
93,Jaxson,0.0024530000000000003
