,girlname,girlfreq
1,Amelia/Emily/Emilia/Emely/Emelia/Amalia/Amelie/Emilee,0.014742
2,Sophia/Sofia/Sophie,0.013743
3,Ava/Eva/Ivy/Evie/Eve/Abby/Avah,0.013398
4,Ella/Ellie/Hailey/Ayla/Allie/Haley/Elle/Willa/Aleah/Hallie/Haylee/Hayley/Alia/Hailee/Halle,0.013188
5,Elena/Eliana/Alaina/Alina/Alana/Elliana/Alayna/Elaina/Helen/Aylin/Alani/Elianna/Helena/Alanna/Aleena/Elaine/Alena/Aileen/Eileen/Ellen/Ayleen/Aliana/Iliana/Alannah/Ellianna/Ailani,0.012946999999999998
6,Layla/Lily/Lyla/Lilly/Laila/Lila/Leila/Lilah/Leyla/Lylah/Lillie/Laylah/Lailah,0.012865999999999999
7,Emma/Amy/Emmy/Emmie/Amia,0.012091
8,Isabella/Isabelle/Isabel/Izabella/Isabela,0.011644999999999999
9,Olivia/Olive,0.010598
10,Mia/Mya/Mae/Myah/Miah,0.008698000000000001
11,Kaylee/Kylie/Kayla/Callie/Cali/Kali/Kylee/Kyla/Kelly/Kailey/Kaylie/Keyla/Kallie/Kailee/Caylee,0.008661
12,Adeline/Adalynn/Adalyn/Adaline/Adelyn/Adelynn/Addilyn/Adelina/Addilynn/Adilynn,0.008054
13,Hannah/Anna/Ana/Annie/Hanna/Anne/Anya/Hana,0.007918
14,Lillian/Liliana/Leilani/Lilliana/Lilian/Lilyana/Lilianna/Lillianna,0.007413
15,Alice/Alyssa/Eliza/Elise/Alicia/Elisa/Alessia/Elyse/Aliza/Ellis/Alisha/Alisa,0.0072250000000000005
16,Charlotte,0.0068709999999999995
17,Evelyn/Evelynn/Avalynn/Avalyn/Evalyn,0.006673
18,Zoey/Zoe/Zoie,0.006123
19,Aria/Arya/Ariah/Ari/Yara,0.005801
20,Madelyn/Madeline/Madilyn/Madeleine/Madelynn/Madilynn/Madalyn/Madalynn,0.005696
21,Abigail,0.005634
22,Mila/Malia/Myla/Millie/Maleah/Miley/Maliah/Mylah,0.005572
23,Harper,0.00557
24,Riley/Rylee/Rylie/Raylee,0.005522
25,Sarah/Sara/Zara/Sarai/Zariah/Sierra/Zahra/Sariah/Zaria,0.0054989999999999995
26,Camila/Camille/Kamila/Camilla,0.005408
27,Aubrey/Aubree/Aubrie,0.005181
28,Avery/Averie/Averi,0.004964
29,Elizabeth/Elisabeth,0.004946
30,Chloe/Khloe,0.004828000000000001
31,Natalie/Natalia/Nathalie/Nataly/Nathalia,0.004817
32,Maria/Mary/Mariah/Mira/Myra/Marie/Mara,0.0047209999999999995
33,Scarlett/Scarlet/Scarlette,0.0046879999999999995
34,Madison/Maddison,0.004649
35,Ariana/Arianna/Erin/Irene/Aryanna,0.004625
36,Grace/Gracie,0.00459
37,Nora/Norah/Noor,0.004526
38,Bella/Bailey/Baylee/Bailee/Belle,0.004509
39,Claire/Clara/Clare,0.004272
40,Aaliyah/Aliyah/Alayah/Alaia/Alaya/Aliya,0.004168000000000001
41,Victoria,0.0038729999999999997
42,Melanie/Melany/Milani/Melina/Milana/Milan/Milena/Meilani/Malani/Melania,0.0036529999999999996
43,Emery/Amara/Amira/Amari/Amirah/Emerie,0.003616
44,Penelope,0.0035329999999999997
45,Brooklyn/Brooklynn,0.003508
46,Charlie/Charlee/Carly/Charley/Karla/Charli/Karlee/Carla/Karlie/Carlee,0.0035009999999999998
47,Leah/Lia/Lea,0.003432
48,Gabriella/Gabrielle/Gabriela,0.003317
49,Lucy/Lucia,0.003316
50,Athena/Eden/Hayden/Aitana,0.003313
51,Addison/Addyson,0.003284
52,Allison/Alison/Allyson/Alyson/Ellison,0.0032249999999999996
53,Gianna/Jane/Jenna/Giana/Jana/Jenny,0.0031960000000000005
54,Paisley/Paislee,0.0031780000000000003
55,Savannah/Savanna,0.003066
56,Hazel/Azalea,0.0029439999999999996
57,Eleanor,0.002941
58,Skylar/Skyler,0.002938
59,Isla/Ashley,0.0028669999999999998
60,Luna,0.002838
61,Caroline/Carolina/Carolyn,0.002829
62,Kinsley/Kensley/Kinslee,0.0027340000000000003
63,Stella,0.0026850000000000003
64,Vivian/Vivienne/Viviana,0.002685
65,Brielle/Briella/Brylee/Braylee,0.002638
66,Maya/Maia/Miya,0.002616
67,Peyton/Payton,0.002599
68,Kennedy/Kennedi,0.002585
69,Keira/Kiara/Kira/Kara/Kyra/Kiera/Kairi/Cara,0.002569
70,Brianna/Brynn/Briana/Breanna/Brenna,0.002565
71,Audrey,0.0025629999999999997
72,Ariel/Ariella/Arielle/Yareli/Arely,0.002555
73,Makayla/Michelle/Mikayla/Michaela/Mikaela,0.00251
74,Violet,0.002506
75,Lena/Lana/Liana/Lainey/Laney/Leanna/Lina/Lyanna,0.0024839999999999997
76,Alexa/Alexia,0.002475
77,Aurora,0.002438
78,Jade/Jada/Jayda/Jayde,0.002365
79,Katherine/Catherine,0.002353
80,Cora/Kora/Kori,0.002321
81,Samantha,0.002293
82,Genesis,0.002259
83,Reagan/Raegan,0.002239
84,Mackenzie/Makenzie,0.002147
