,boyname,boyfreq
1,Ethan/Aiden/Ayden/Hayden/Aidan/Edwin/Aden/Adan/Eden/Aydin/Aydan/Aidyn/Aaden,0.022906
2,Jackson/Jaxon,0.009982000000000001
3,Jacob/Jakob/Jacoby/Jaycob/Jakobe,0.009818
4,Jayden/Jaden/Jaiden,0.009580000000000002
5,Noah/Noe,0.009250000000000001
6,Mason/Mayson/Maison,0.009041
7,Liam,0.008999
8,Jace/Jase/Jayce/Jesse/Jasiah/Jessie/Jayse,0.008458000000000002
9,William,0.008246
10,Kayden/Kaiden/Kaden/Cayden/Caden/Caiden/Kaeden,0.008065000000000003
11,Michael/Micheal,0.007855000000000001
12,John/Jonah/Johnny/Jon,0.007567
13,Alexander,0.007384
14,Elijah/Alijah,0.007072
15,Daniel,0.0070680000000000005
16,Matthew/Mathew,0.006945
17,Gavin/Kevin/Gavyn,0.0067480000000000005
18,James,0.006706
19,Benjamin,0.006684999999999999
20,Joshua/Josue,0.006561000000000001
21,Lucas/Lukas,0.006464
22,Andrew/Andre,0.006435
23,Caleb/Kaleb,0.006165
24,Logan,0.0061340000000000006
25,David,0.006111999999999999
26,Anthony,0.0060810000000000005
27,Joseph,0.006046
28,Luke/Luca/Luka/Lucca,0.006030999999999999
29,Josiah/Jose/Joziah,0.006015
30,Christopher/Kristopher/Cristopher,0.0057480000000000005
31,Christian/Cristian/Kristian,0.005589
32,Gabriel,0.005555
33,Samuel,0.005477
34,Jack/Jake,0.0054670000000000005
35,Isaac/Issac/Hezekiah,0.005408999999999999
36,Carter/Karter,0.005339
37,Dylan/Dilan,0.005146
38,Ryan/Rene,0.005047
39,Nicholas/Nicolas/Nikolas/Nickolas,0.005038
40,Evan/Ivan,0.0049570000000000005
41,Jonathan/Johnathan,0.004854000000000001
42,Easton/Ashton/Weston,0.004841
43,Wyatt/Wade/Eddie/Heath,0.004813999999999999
44,Nathan,0.004809000000000001
45,Eli/Ali/Willie/Will,0.0047009999999999994
46,Jeremiah/Jeremy,0.0046949999999999995
47,Chase/Cash/Kash/Casey/Case/Kase/Chace,0.004631000000000001
48,Brayden/Braden/Braeden/Braiden,0.0044789999999999995
49,Hunter,0.004442
50,Henry,0.0044
51,Owen,0.00435
52,Landon,0.004338
53,Isaiah/Izaiah/Izayah,0.004298
54,Grayson/Greyson,0.004064
55,Cameron/Kameron,0.004011
56,Dominic/Dominick/Dominik,0.004003
57,Julian/Julien,0.003932000000000001
58,Connor/Conor/Konnor,0.003879
59,Jordan/Jordyn/Jorden,0.003798
60,Aaron/Aron,0.003783
61,Sean/Zane/Shane/Shawn/Zayne/Zain/Zayn,0.003775
62,Sebastian,0.003747
63,Levi,0.003669
64,Zachary/Zachariah/Zackary/Zechariah,0.00362
65,Colton/Kolton,0.003611
66,Oliver,0.003604
67,Adrian/Adrien,0.0035399999999999997
68,Thomas/Tomas,0.003525
69,Charles,0.0034770000000000005
70,Robert,0.0033200000000000005
71,Tyler,0.0032939999999999996
72,Brandon/Brendon/Brenton,0.0032870000000000004
73,Austin,0.00322
74,Angel,0.003159
75,Jason/Jayson,0.003134
76,Bentley/Bentlee/Bently,0.0029850000000000002
77,Ian/Wayne/Ean,0.002956
78,Eric/Erick/Erik,0.0028409999999999998
79,Parker,0.00281
80,Blake,0.0028
81,Damian/Damien,0.002773
82,Bryan/Brian,0.002752
83,Carson/Karson,0.0027329999999999998
84,Camden/Kamden/Kamdyn/Camdyn,0.002619
85,Micah/Mekhi/Makai/Mack/Mike/Makhi,0.002604
86,Adam,0.0025960000000000002
87,Kyle/Gael/Kale,0.0025570000000000002
